Iteration	Posterior	Likelihood	Prior	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rf[1]	rf[2]	rf[3]
1490	-65.51725	-70.77983	5.26258	0.0508307	0.218374	0.334096	0.0485851	0.0837453	0.0861626	0.628703	0.226848	0.144448
1500	-63.58722	-74.08347	10.49626	0.0970632	0.13163	0.00815548	0.00388398	0.127996	0.0617158	0.0876698	0.619562	0.292768
1510	-61.93151	-69.95712	8.025612	0.166968	0.0777985	0.185324	0.00814352	0.100488	0.0764646	0.0616154	0.0504435	0.887941
1520	-65.85696	-71.8565	5.999537	0.260817	0.11771	0.13833	0.110529	0.0659486	0.0733518	0.194853	0.633738	0.171409
1530	-68.01261	-71.81916	3.806553	0.181181	0.0269001	0.086712	0.26573	0.245921	0.124224	0.528968	0.178015	0.293017
1540	-66.43233	-72.43663	6.004301	0.0529113	0.283575	0.193267	0.112473	0.0180662	0.106038	0.328082	0.646322	0.0255967
1550	-62.30241	-69.59741	7.295008	0.190653	0.0184353	0.25596	0.00497014	0.0612227	0.138576	0.0387568	0.241102	0.720141
1560	-66.83651	-72.16095	5.324435	0.190635	0.0669546	0.293919	0.138923	0.0620716	0.0646642	0.694845	0.289839	0.0153166
1570	-64.96153	-76.19501	11.23348	0.0609601	0.0482074	0.00755291	0.0496006	0.102087	0.10691	0.263002	0.68003	0.056968
1580	-63.93286	-70.83826	6.905401	0.099041	0.0992865	0.185781	0.125051	0.0577399	0.132052	0.497854	0.194996	0.30715
1590	-61.77405	-71.5054	9.73135	0.172318	0.0148053	0.0257994	0.0346726	0.128084	0.111961	0.460515	0.0743877	0.465097
1600	-64.50663	-73.12389	8.617262	0.129545	0.0563787	0.0675305	0.0650718	0.184613	0.0678067	0.269787	0.44848	0.281733
1610	-64.35586	-70.10968	5.753821	0.145131	0.0401354	0.247811	0.0792204	0.115525	0.157238	0.27921	0.192674	0.528116
1620	-62.54846	-73.37233	10.82387	0.140607	0.0554276	0.0166365	0.0826378	0.0639299	0.0467074	0.0721704	0.157543	0.770287
1630	-63.11741	-70.788	7.670591	0.094178	0.0464542	0.229301	0.137361	0.0508358	0.0836031	0.0545551	0.180754	0.764691
1640	-63.34517	-71.94809	8.602917	0.196425	0.0160795	0.0447991	0.078696	0.19363	0.0423897	0.187375	0.152987	0.659638
1650	-66.05799	-70.87828	4.820297	0.238656	0.00432427	0.00409152	0.443104	0.0726739	0.092016	0.74856	0.235309	0.0161308
1660	-66.51732	-73.13792	6.620604	0.0527405	0.0839353	0.242958	0.0279565	0.0432586	0.269398	0.395215	0.132179	0.472607
1670	-62.83687	-70.57803	7.741156	0.178306	0.0220148	0.0663148	0.174754	0.121379	0.0736887	0.450515	0.19898	0.350505
1680	-61.96297	-70.74534	8.782371	0.205489	0.061207	0.0808558	0.0202756	0.110243	0.0805299	0.312126	0.100559	0.587315
1690	-63.63855	-71.71406	8.075511	0.113275	0.00977762	0.233274	0.120868	0.0627036	0.0715576	0.711077	0.0712115	0.217711
1700	-61.67486	-71.80238	10.12752	0.0366134	0.00959001	0.146819	0.0434725	0.0842089	0.137312	0.0175825	0.301639	0.680778
1710	-64.04304	-72.30233	8.259289	0.0542419	0.085262	0.301828	0.0292314	0.040487	0.0866632	0.666847	0.221377	0.111776
1720	-65.21058	-71.93757	6.726997	0.112824	0.129762	0.0517169	0.18609	0.146575	0.085324	0.0288307	0.700648	0.270522
1730	-64.90788	-69.33509	4.427208	0.322079	0.037574	0.0365562	0.203997	0.158616	0.125437	0.211793	0.498603	0.289604
1740	-63.75887	-70.56513	6.806264	0.347781	0.00355422	0.0383743	0.0650318	0.139556	0.112067	0.157842	0.432667	0.409491
1750	-66.98068	-70.85968	3.879007	0.246056	0.00692981	0.188072	0.285481	0.157925	0.0407867	0.0605445	0.863181	0.0762747
1760	-61.14887	-72.59943	11.45057	0.151129	0.00604806	0.0140225	0.0559514	0.0539828	0.0779515	0.0640111	0.360933	0.575056
1770	-69.99771	-74.82774	4.830026	0.203598	0.0329254	0.203268	0.025418	0.216183	0.172745	0.358799	0.319082	0.322118
1780	-63.35142	-71.82955	8.478135	0.0750169	0.105244	0.163354	0.0494026	0.113134	0.075198	0.188202	0.485179	0.32662
1790	-68.96531	-72.58636	3.621045	0.453523	0.0909069	0.0281363	0.0602889	0.180435	0.131249	0.0614025	0.477726	0.460872
1800	-63.51236	-70.53926	7.026901	0.166176	0.0380248	0.326949	0.0391519	0.0350516	0.0845129	0.263246	0.0839181	0.652836
1810	-61.89143	-71.17763	9.286198	0.0496444	0.0478502	0.203418	0.0480608	0.0550564	0.116896	0.0117866	0.565262	0.422951
1820	-63.33443	-71.66303	8.328603	0.111577	0.000233126	0.0343601	0.27132	0.0942617	0.0807787	0.00196078	0.763532	0.234508
1830	-62.50678	-70.85812	8.351337	0.0832084	0.068075	0.222406	0.0123373	0.0903321	0.114472	0.443045	0.314398	0.242557
1840	-61.8573	-71.43712	9.579824	0.0612606	0.00359253	0.163842	0.0978709	0.0438972	0.128507	0.127331	0.353747	0.518922
1850	-63.70257	-74.67281	10.97024	0.175558	0.0544538	0.00955688	0.0386248	0.0520869	0.0647207	0.713911	0.182204	0.103885
1860	-63.67603	-69.88964	6.213605	0.16939	0.0589971	0.16381	0.179083	0.081925	0.0974757	0.328474	0.0712969	0.600229
1870	-64.37818	-70.96705	6.58887	0.139724	0.0580533	0.062183	0.178822	0.160347	0.123491	0.116317	0.378354	0.505329
1880	-65.04879	-70.69286	5.644066	0.0783337	0.143914	0.25672	0.0265131	0.100775	0.187012	0.184803	0.464302	0.350895
1890	-63.27604	-73.00772	9.731677	0.167319	0.00685088	0.0677407	0.0930969	0.11526	0.0373481	0.0961732	0.788367	0.11546
1900	-65.15497	-71.88021	6.725239	0.032802	0.154653	0.14276	0.110606	0.151874	0.119728	0.301382	0.0151425	0.683475
1910	-65.65769	-71.56223	5.90454	0.122223	0.15441	0.129761	0.13453	0.0590041	0.173862	0.155236	0.194214	0.650549
1920	-61.99905	-72.19323	10.19418	0.0651588	0.019962	0.1383	0.0817476	0.0413626	0.1065	0.328322	0.0971048	0.574574
1930	-63.21945	-71.83526	8.615816	0.0529329	0.0899139	0.21422	0.0788682	0.0553469	0.0797724	0.372199	0.145405	0.482396
1940	-62.32468	-71.35985	9.035173	0.137084	0.0581635	0.00991238	0.122982	0.121557	0.0899973	0.0206826	0.655379	0.323939
1950	-65.1841	-72.32807	7.143966	0.278024	0.0759723	0.0380686	0.0717652	0.0992224	0.11806	0.953903	0.0414048	0.00469205
1960	-64.32499	-71.12207	6.797077	0.0190673	0.0816295	0.348507	0.0152237	0.0368401	0.205783	0.369053	0.28637	0.344577
1970	-64.75706	-69.16869	4.411631	0.325112	0.0128888	0.096917	0.253471	0.0850895	0.111945	0.202956	0.309491	0.487553
1980	-62.05873	-71.27606	9.217332	0.217612	0.04519	0.0874722	0.00124821	0.0751324	0.0994214	0.241564	0.164775	0.59366
1990	-64.16524	-68.85181	4.686571	0.233635	0.0221054	0.414294	0.00132552	0.0608029	0.132702	0.273305	0.0503846	0.676311
2000	-62.19668	-71.7026	9.505925	0.021832	0.0585639	0.226002	0.0110451	0.0489211	0.138132	0.470374	0.128841	0.400785
