Iteration	Posterior	Likelihood	Prior	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er_full[1]	er_full[2]	er_full[3]	er_full[4]	er_full[5]	er_full[6]	er_full[7]	er_full[8]	er_full[9]	er_full[10]	er_full[11]	er_full[12]	er_full[13]	er_full[14]	er_full[15]	er_full[16]	er_full[17]	er_full[18]	er_full[19]	er_full[20]	er_full[21]	er_full[22]	er_full[23]	er_full[24]	er_full[25]	er_full[26]	er_full[27]	er_full[28]	pi[1]	pi[2]	pi[3]	pi[4]	pi[5]	pi[6]	pi[7]	pi[8]	rf[1]	rf[2]	rf[3]	rf[4]	rf[5]	rf[6]	rf[7]	rf[8]
450	-49.30864	-72.93822	23.62957	0.0405534	0.133145	0.0846531	0.162007	0.00928497	0.204575	0.365782	0.0405534	0	0	0	0	0	0	0.133145	0	0	0	0	0	0.0846531	0	0	0	0	0.162007	0	0	0	0.00928497	0	0	0.204575	0	0.365782	0.127075	0.0324977	0.0523874	0.0992139	0.0128971	0.250587	0.00677216	0.41857	0.0538945	0.22441	0.266169	0.0530503	0.0272293	0.305147	0.0239076	0.0461924
460	-47.42448	-71.05405	23.62957	0.0622865	0.230421	0.102305	0.0696244	0.0501095	0.453766	0.0314874	0.0622865	0	0	0	0	0	0	0.230421	0	0	0	0	0	0.102305	0	0	0	0	0.0696244	0	0	0	0.0501095	0	0	0.453766	0	0.0314874	0.10686	0.027328	0.0440537	0.0834311	0.00874534	0.213708	0.00569486	0.510179	0.151201	0.0925608	0.0447955	0.377741	0.149566	0.0785939	0.0139319	0.0916104
470	-48.87051	-72.50009	23.62957	0.0548464	0.428161	0.0340307	0.08445	0.0769608	0.0706715	0.250879	0.0548464	0	0	0	0	0	0	0.428161	0	0	0	0	0	0.0340307	0	0	0	0	0.08445	0	0	0	0.0769608	0	0	0.0706715	0	0.250879	0.238934	0.0180227	0.0290532	0.0965351	0.00976074	0.0634245	0.00274614	0.541524	0.0814373	0.213101	0.146353	0.135601	0.216397	0.0781402	0.0370481	0.0919226
480	-46.81452	-70.44409	23.62957	0.147961	0.137095	0.0419421	0.200814	0.130377	0.318387	0.0234241	0.147961	0	0	0	0	0	0	0.137095	0	0	0	0	0	0.0419421	0	0	0	0	0.200814	0	0	0	0.130377	0	0	0.318387	0	0.0234241	0.250135	0.0322744	0.067011	0.115028	0.0175163	0.0509332	0.00491768	0.462184	0.0883701	0.0076876	0.361719	0.140128	0.0838731	0.0847922	0.112594	0.120836
490	-47.47353	-71.1031	23.62957	0.160197	0.337753	0.100545	0.122194	0.127587	0.0994197	0.052304	0.160197	0	0	0	0	0	0	0.337753	0	0	0	0	0	0.100545	0	0	0	0	0.122194	0	0	0	0.127587	0	0	0.0994197	0	0.052304	0.237027	0.0470473	0.100502	0.135119	0.0255339	0.0785116	0.036071	0.34019	0.209563	0.0561755	0.20215	0.146784	0.0897534	0.168909	0.0192873	0.107377
500	-50.83154	-74.46112	23.62957	0.13585	0.22617	0.0695611	0.197265	0.25824	0.0377165	0.0751977	0.13585	0	0	0	0	0	0	0.22617	0	0	0	0	0	0.0695611	0	0	0	0	0.197265	0	0	0	0.25824	0	0	0.0377165	0	0.0751977	0.275533	0.0726627	0.0973136	0.204041	0.0328445	0.0325923	0.126856	0.158156	0.174694	0.239751	0.0338793	0.150267	0.059409	0.120474	0.0472652	0.174261
510	-49.23548	-72.86505	23.62957	0.0774917	0.372687	0.233077	0.134585	0.119195	0.00649079	0.0564734	0.0774917	0	0	0	0	0	0	0.372687	0	0	0	0	0	0.233077	0	0	0	0	0.134585	0	0	0	0.119195	0	0	0.00649079	0	0.0564734	0.30741	0.0340295	0.0829438	0.0955567	0.0153818	0.252527	0.132671	0.0794803	0.13797	0.493661	0.0693895	0.131704	0.0710066	0.0318572	0.0375266	0.0268856
520	-51.60509	-75.23467	23.62957	0.117825	0.274082	0.398123	0.0583336	0.0451822	0.00185651	0.104599	0.117825	0	0	0	0	0	0	0.274082	0	0	0	0	0	0.398123	0	0	0	0	0.0583336	0	0	0	0.0451822	0	0	0.00185651	0	0.104599	0.248072	0.0274609	0.0669334	0.0771117	0.0421796	0.303886	0.107062	0.127295	0.224886	0.086871	0.0912561	0.254953	0.152245	0.057384	0.0839762	0.0484287
530	-50.57424	-74.20382	23.62957	0.203611	0.386173	0.239617	0.0420987	0.0462088	0.010738	0.0715544	0.203611	0	0	0	0	0	0	0.386173	0	0	0	0	0	0.239617	0	0	0	0	0.0420987	0	0	0	0.0462088	0	0	0.010738	0	0.0715544	0.180833	0.0287397	0.0388156	0.0654421	0.0707226	0.385448	0.0900783	0.139921	0.0937152	0.201267	0.127216	0.0785298	0.255303	0.0799964	0.0499921	0.11398
540	-51.05342	-74.68299	23.62957	0.0438263	0.413674	0.158053	0.221134	0.0411935	0.0305479	0.0915715	0.0438263	0	0	0	0	0	0	0.413674	0	0	0	0	0	0.158053	0	0	0	0	0.221134	0	0	0	0.0411935	0	0	0.0305479	0	0.0915715	0.306786	0.064566	0.0818305	0.184999	0.0161959	0.160546	0.0809016	0.104175	0.145661	0.0806185	0.197731	0.186136	0.149867	0.0358035	0.0270252	0.177158
