Iteration	Posterior	Likelihood	Prior	rate[1]	rate[2]
2020	-42.37148	-44.65792	2.286438	0.133169	0.0842114
2030	-40.41613	-42.04121	1.625079	0.111401	0.155822
2040	-43.38463	-46.18048	2.795851	0.000997437	0.177992
2050	-42.74692	-45.52758	2.780654	0.103191	0.0769433
2060	-40.85487	-44.18893	3.334054	0.00871028	0.129718
2070	-41.62934	-42.78661	1.157272	0.0544412	0.248037
2080	-39.99113	-42.65878	2.667644	0.0345868	0.154065
2090	-41.20429	-42.6609	1.456604	0.14881	0.131109
2100	-41.23518	-41.6395	0.4043204	0.170764	0.18846
2110	-40.86716	-43.56285	2.69569	0.0792559	0.107282
2120	-42.07668	-41.64055	-0.4361208	0.224489	0.198074
2130	-42.83422	-44.62861	1.794395	0.206068	0.0483944
2140	-42.29421	-43.87877	1.584566	0.025092	0.245184
2150	-40.65027	-42.51272	1.862442	0.11378	0.135554
2160	-40.89243	-42.91828	2.025853	0.0307906	0.206229
2170	-41.13885	-44.03505	2.896197	0.00776132	0.163666
2180	-39.93753	-42.31364	2.376107	0.0497907	0.160832
2190	-44.7809	-42.30155	-2.479347	0.215791	0.360757
2200	-40.04724	-42.9466	2.899358	0.0425108	0.128678
2210	-40.18981	-43.26619	3.076375	0.0376839	0.120164
2220	-40.04634	-42.41388	2.367544	0.0415645	0.169704
2230	-41.52095	-43.48075	1.959797	0.133155	0.108843
2240	-41.10135	-42.06373	0.9623758	0.160672	0.156495
2250	-42.01094	-45.79696	3.786016	0.004255	0.100112
2260	-40.84445	-41.55947	0.715019	0.131014	0.204794
2270	-40.48228	-41.73706	1.254784	0.0926856	0.202444
2280	-40.33424	-42.422	2.087761	0.0423213	0.190032
2290	-41.68213	-43.90237	2.220237	0.121709	0.100661
2300	-40.81246	-44.3567	3.544241	0.0166361	0.105952
2310	-41.84734	-41.51419	-0.3331481	0.166534	0.248268
2320	-40.85743	-42.60395	1.746519	0.125166	0.132905
2330	-39.93586	-42.2114	2.275539	0.0583114	0.159891
2340	-40.53694	-41.85048	1.313539	0.122778	0.167924
2350	-40.45102	-43.18202	2.730998	0.0184956	0.165381
2360	-41.13926	-41.59967	0.4604053	0.125544	0.229453
2370	-40.02793	-42.06498	2.037053	0.0766008	0.159574
2380	-40.96308	-42.81273	1.849647	0.0364007	0.213898
2390	-39.99213	-42.50234	2.510211	0.0610254	0.139491
2400	-40.13472	-42.86288	2.728158	0.0265484	0.157543
2410	-40.77645	-42.04844	1.271988	0.1375	0.156333
2420	-41.42931	-42.11237	0.683062	0.184133	0.154084
2430	-40.48534	-41.78471	1.299369	0.0873282	0.204442
2440	-42.61938	-43.80298	1.183601	0.23219	0.0683047
2450	-42.42322	-44.46022	2.037001	0.160015	0.0761639
2460	-41.33753	-43.1305	1.792974	0.0315386	0.223031
2470	-39.91771	-42.31328	2.39557	0.055625	0.153531
2480	-45.36814	-43.02663	-2.341515	0.374608	0.191552
2490	-40.29416	-42.22647	1.932305	0.097457	0.146612
2500	-39.95083	-42.37589	2.425062	0.0457417	0.161192
2510	-40.30048	-42.05037	1.749885	0.102317	0.155501
2520	-41.10876	-43.33248	2.223725	0.109364	0.112743
2530	-40.94935	-41.97744	1.028089	0.151274	0.16094
2540	-41.87634	-42.69735	0.821007	0.20541	0.122411
2550	-40.48272	-43.72086	3.238141	0.0373024	0.108354
2560	-43.35575	-42.49253	-0.8632173	0.134877	0.319873
2570	-40.33753	-41.95266	1.615133	0.106695	0.161277
2580	-41.9186	-42.3629	0.4442986	0.0884273	0.267784
2590	-41.18389	-41.77641	0.5925194	0.107207	0.237834
2600	-43.01526	-41.7087	-1.306563	0.193969	0.294193
2610	-42.07464	-43.42292	1.348274	0.194623	0.0934606
2620	-43.4693	-42.03227	-1.43703	0.298862	0.199133
2630	-40.61523	-41.64772	1.032484	0.10684	0.205043
2640	-41.14608	-41.70709	0.5610077	0.112823	0.234592
2650	-42.10082	-44.07855	1.977731	0.149053	0.0915926
2660	-39.94227	-42.19784	2.255569	0.0579566	0.16175
2670	-40.38513	-42.63936	2.254229	0.0337075	0.1861
2680	-40.10991	-42.56534	2.455431	0.0351832	0.169461
2690	-41.53666	-43.4245	1.887835	0.137629	0.109792
2700	-42.01585	-44.12115	2.105301	0.013114	0.217918
2710	-41.40421	-44.47344	3.069229	0.0666911	0.0916955
2720	-40.72013	-41.66266	0.942534	0.105781	0.212881
2730	-40.04904	-42.32502	2.275987	0.0736624	0.144506
2740	-40.53974	-42.18241	1.642671	0.0585607	0.207336
2750	-40.32586	-43.03477	2.708912	0.0215631	0.163978
2760	-40.18044	-41.88329	1.702854	0.0763232	0.185038
2770	-41.87624	-43.62082	1.744579	0.0250662	0.233151
2780	-42.16753	-41.88111	-0.2864188	0.135658	0.275622
2790	-43.33171	-42.24138	-1.090331	0.296661	0.175205
2800	-41.40267	-43.20332	1.80065	0.13866	0.115331
2810	-40.48157	-42.1808	1.699224	0.112861	0.148774
2820	-40.74256	-42.09657	1.354015	0.0687292	0.218922
2830	-40.34662	-42.59189	2.245269	0.0881352	0.132348
2840	-41.95898	-43.2089	1.24992	0.192561	0.102935
2850	-44.4234	-41.97372	-2.449677	0.234384	0.339927
2860	-41.52907	-42.24258	0.7135117	0.189049	0.146873
2870	-40.31233	-41.94992	1.637593	0.104689	0.161591
2880	-44.57055	-42.35231	-2.218236	0.200691	0.356178
2890	-41.82108	-42.92053	1.099454	0.191664	0.115173
2900	-40.47644	-42.23867	1.762231	0.0540243	0.202862
2910	-40.9941	-43.90422	2.910124	0.00883689	0.16154
2920	-42.36987	-43.86683	1.496962	0.204831	0.0720472
2930	-40.12396	-43.20672	3.082759	0.0284626	0.128904
2940	-40.9863	-43.49943	2.513136	0.0148832	0.185413
2950	-40.52362	-43.75411	3.23049	0.0131728	0.133061
2960	-40.11078	-42.85384	2.743064	0.0558504	0.127117
2970	-41.94154	-43.35432	1.412774	0.182262	0.100962
2980	-42.01483	-41.46408	-0.5507455	0.203317	0.227884
2990	-40.90304	-42.47265	1.56961	0.13367	0.137733
3000	-42.12865	-42.19923	0.07057949	0.234063	0.150313
3010	-41.46124	-42.16271	0.7014647	0.0861045	0.250725
3020	-42.14131	-44.02728	1.885977	0.15829	0.089271
3030	-40.9965	-42.1248	1.1283	0.151615	0.153047
3040	-40.36501	-41.71737	1.352356	0.100401	0.187375
3050	-40.01499	-42.03132	2.016332	0.0674051	0.170332
3060	-41.0901	-44.54358	3.45348	0.00704743	0.122381
3070	-41.91812	-44.80618	2.888061	0.0850163	0.0870238
3080	-42.73559	-41.72792	-1.007669	0.17759	0.288047
3090	-40.02328	-42.02466	2.001379	0.0748496	0.164014
3100	-41.38652	-41.5181	0.1315796	0.147636	0.232142
3110	-44.46377	-41.99035	-2.473428	0.327296	0.248806
3120	-40.27285	-42.8267	2.553854	0.0267057	0.170522
3130	-40.57284	-43.43346	2.860627	0.0637114	0.110396
3140	-40.87368	-41.98231	1.108633	0.145759	0.160385
3150	-41.08973	-41.81893	0.7291937	0.162841	0.171899
3160	-39.97699	-42.25496	2.277964	0.0679415	0.150078
3170	-39.98078	-42.5232	2.542424	0.0387521	0.159337
3180	-40.3383	-43.32677	2.988472	0.0172378	0.147235
3190	-43.67921	-41.73705	-1.942163	0.292665	0.243398
3200	-40.92332	-41.69783	0.7745035	0.150114	0.181212
3210	-42.46179	-43.71242	1.250631	0.22244	0.0730029
3220	-40.58508	-43.72319	3.138114	0.0471917	0.106004
3230	-41.76355	-42.93618	1.172632	0.185204	0.116117
3240	-40.91411	-41.55568	0.6415669	0.128559	0.212785
3250	-40.09986	-42.7831	2.683241	0.0288264	0.15865
3260	-40.55745	-42.00434	1.446889	0.122574	0.158078
3270	-42.62118	-41.48667	-1.134514	0.214516	0.26068
3280	-40.29538	-43.41606	3.120678	0.0182295	0.13628
3290	-40.92089	-41.55007	0.6291775	0.130515	0.211763
3300	-42.54106	-41.82452	-0.7165399	0.157602	0.286094
3310	-42.99751	-45.72254	2.725033	0.111364	0.0729626
