Iteration	Replicate_ID	Posterior	Likelihood	Prior	rate[1]	rate[2]
308	0	-41.72921	-41.75383	0.0246229	0.20667	0.181169
309	1	-41.4741	-41.67675	0.2026539	0.128052	0.24637
310	0	-39.95801	-42.74306	2.785049	0.0416462	0.138157
311	1	-42.13496	-42.47776	0.3427986	0.0885907	0.27527
312	0	-42.188	-44.74033	2.552324	0.110212	0.0871305
313	1	-41.3998	-41.75732	0.3575137	0.184441	0.17831
314	0	-40.48885	-42.32901	1.840162	0.10877	0.142244
315	1	-42.04744	-42.29463	0.2471915	0.227688	0.143378
316	0	-40.11982	-42.05318	1.933359	0.0868073	0.157183
317	1	-42.39605	-41.70745	-0.6886029	0.244031	0.197559
318	0	-40.10968	-41.94885	1.839172	0.0854943	0.165594
319	1	-41.31427	-41.80882	0.494555	0.178751	0.173673
320	0	-40.288	-41.77569	1.487686	0.0990592	0.178518
321	1	-40.53759	-43.27362	2.73603	0.0168537	0.166644
322	0	-40.83481	-42.53523	1.700421	0.126276	0.135269
323	1	-42.35957	-41.62422	-0.73535	0.172885	0.272228
324	0	-40.40529	-42.72336	2.318069	0.0308052	0.184192
325	1	-41.73674	-41.53262	-0.2041264	0.198047	0.207032
326	0	-42.25131	-42.55094	0.2996331	0.238806	0.128307
327	1	-42.67411	-42.39463	-0.2794834	0.266042	0.144716
328	0	-40.24952	-41.90059	1.651076	0.0994401	0.165824
329	1	-40.34403	-42.33937	1.995336	0.0464514	0.192868
330	0	-41.78946	-41.80574	0.01628621	0.211321	0.177146
331	1	-41.48582	-43.05336	1.567536	0.0380892	0.23347
332	0	-40.6905	-41.8298	1.139305	0.0874001	0.216433
333	1	-40.57162	-43.1711	2.599477	0.0778522	0.115937
334	0	-39.9317	-42.574	2.642298	0.0408362	0.149725
335	1	-40.37341	-43.56532	3.191915	0.0369568	0.112184
336	0	-41.41426	-42.8311	1.416838	0.158214	0.124702
337	1	-40.90245	-43.83173	2.929286	0.00951533	0.159418
338	0	-39.99613	-42.589	2.592868	0.0361898	0.158097
339	1	-40.27166	-42.99719	2.725531	0.0225339	0.161755
340	0	-42.32626	-42.22912	-0.09713755	0.246493	0.150523
341	1	-40.27723	-42.74519	2.467957	0.0291662	0.174534
342	0	-40.87813	-41.55286	0.6747329	0.133836	0.205009
343	1	-40.52073	-42.27338	1.752648	0.0529522	0.204657
344	0	-43.59472	-45.88856	2.293841	0.187487	0.029336
345	1	-40.65287	-41.91513	1.262264	0.130862	0.163704
346	0	-43.01237	-46.64555	3.633184	0.048174	0.0677109
347	1	-41.68371	-43.97006	2.286353	0.0122179	0.205169
348	0	-40.2349	-42.61175	2.376849	0.0785032	0.132064
349	1	-40.50993	-42.41152	1.901592	0.0455452	0.200839
350	0	-42.17203	-41.99633	-0.1756946	0.236965	0.165971
351	1	-39.97138	-42.7608	2.789415	0.0348839	0.144591
352	0	-39.99215	-42.24989	2.257739	0.0699119	0.149632
353	1	-41.43632	-41.48927	0.05294715	0.156822	0.228883
354	0	-41.05839	-43.04427	1.98588	0.0291597	0.210872
355	1	-40.83286	-43.06943	2.236576	0.102344	0.118795
356	0	-42.6847	-43.0544	0.3696984	0.259473	0.102361
357	1	-40.21785	-42.4265	2.208654	0.0409644	0.182278
358	0	-42.34099	-41.83194	-0.5090541	0.147912	0.280147
359	1	-40.01824	-42.91466	2.896419	0.0310062	0.140404
360	0	-40.97719	-42.71089	1.733699	0.129465	0.129572
361	1	-40.22173	-41.8069	1.585166	0.0870893	0.183142
362	0	-40.03637	-42.95465	2.918284	0.0295927	0.14017
363	1	-41.11039	-42.20524	1.09485	0.157888	0.149295
364	0	-39.97173	-42.10343	2.131695	0.0661149	0.162928
365	1	-41.75213	-41.70221	-0.04992521	0.136329	0.257129
366	0	-43.28762	-41.58749	-1.700125	0.267548	0.250275
367	1	-41.68484	-41.49183	-0.1930079	0.164551	0.239689
368	0	-40.93798	-43.39579	2.457807	0.0934884	0.110977
369	1	-40.50793	-41.71514	1.207215	0.118401	0.180314
370	0	-40.57818	-42.93714	2.358965	0.025477	0.186438
371	1	-42.25218	-41.47089	-0.7812864	0.216412	0.232164
372	0	-44.4735	-41.82342	-2.650087	0.261167	0.328249
373	1	-40.92045	-41.72501	0.8045613	0.103732	0.225328
374	0	-39.95247	-42.47905	2.526576	0.0415166	0.157766
375	1	-41.32137	-42.29624	0.9748757	0.171323	0.144902
376	0	-41.88165	-44.27743	2.395782	0.114895	0.0942451
377	1	-40.20322	-42.09495	1.891732	0.0587222	0.188405
378	0	-40.3203	-42.08643	1.766129	0.103132	0.153461
379	1	-40.41946	-41.72061	1.301143	0.110135	0.181501
380	0	-41.66615	-42.02716	0.3610082	0.202948	0.15954
381	1	-40.96521	-41.54307	0.5778589	0.142454	0.203691
382	0	-41.1479	-44.39788	3.249975	0.0513216	0.0934433
383	1	-40.3704	-41.71719	1.346785	0.102592	0.185604
384	0	-40.89168	-41.77659	0.8849042	0.148702	0.174303
385	1	-40.05965	-42.51433	2.454677	0.0674774	0.137224
386	0	-42.51548	-41.94909	-0.5663866	0.255786	0.176594
387	1	-41.75734	-41.45937	-0.2979788	0.180132	0.232019
388	0	-41.47306	-43.24881	1.775749	0.142019	0.113849
389	1	-41.50315	-45.05691	3.553756	0.00471847	0.117152
390	0	-42.00201	-41.46974	-0.5322692	0.204328	0.225481
391	1	-40.00215	-42.04162	2.039468	0.068936	0.167057
392	0	-41.78041	-43.30046	1.520057	0.034927	0.240211
393	1	-40.50351	-42.13236	1.628843	0.115778	0.151161
394	0	-39.99748	-42.05139	2.053912	0.0677164	0.167188
395	1	-41.04154	-43.72757	2.68603	0.0111231	0.176143
396	0	-42.56147	-41.64157	-0.9198993	0.180286	0.278736
